data,run_id,observations,genes,step,method,batch,b,memory,mode,abs_batch
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.002,1,2897.980312,memory,150
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.04,1,2911.332424,memory,3000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.006666667,1,2967.75642,memory,500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.013333333,1,2958.528629,memory,1000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.02,1,2961.965534,memory,1500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.002,1,4614.796961,memory,150
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.04,1,2911.332424,memory,3000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.04,1,4580.102244,memory,3000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.066666667,1,2938.615596,memory,5000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.006666667,1,4600.534479,memory,500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.013333333,1,4592.458468,memory,1000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.02,1,4576.19916,memory,1500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.1,1,2897.980251,memory,7500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.04,1,4571.648462,memory,3000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.066666667,1,4574.970072,memory,5000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,hdf5,0.133333333,1,3070.679821,memory,10000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.1,1,4619.629473,memory,7500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,mbkmeans,0.133333333,1,4571.174654,memory,10000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.133333333,1,13270.55015,memory,150
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.133333333,1,13270.55015,memory,500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.133333333,1,13270.55015,memory,750
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.133333333,1,13270.55015,memory,1000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.133333333,1,13270.55015,memory,1500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.133333333,1,13270.55015,memory,3000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.133333333,1,13270.55015,memory,5000
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.133333333,1,13270.55015,memory,7500
TENxBrainData_75k,ruoxi_cluster,75000,5000,01_full_cluster,kmeans,0.133333333,1,13270.55015,memory,10000