B,observations,genes,batch_size,k,initializer,method,memory
1,25000,1000,75,2,kmeans++,kmeans,2078.780037
1,25000,1000,75,3,kmeans++,kmeans,2078.833855
1,25000,1000,75,4,kmeans++,kmeans,2078.888184
1,25000,1000,75,5,kmeans++,kmeans,2078.942291
1,25000,1000,75,6,kmeans++,kmeans,2080.162476
1,25000,1000,75,7,kmeans++,kmeans,2079.048271
1,25000,1000,75,8,kmeans++,kmeans,2079.102631
1,25000,1000,75,9,kmeans++,kmeans,2080.422219
1,25000,1000,75,10,kmeans++,kmeans,2079.210907
1,25000,1000,75,11,kmeans++,kmeans,2079.933655
1,25000,1000,75,12,kmeans++,kmeans,2079.316887
1,25000,1000,75,13,kmeans++,kmeans,2079.371124
1,25000,1000,75,14,kmeans++,kmeans,1890.02996
1,25000,1000,75,15,kmeans++,kmeans,2079.477875
1,25000,1000,75,16,kmeans++,kmeans,2079.531647
1,25000,1000,75,17,kmeans++,kmeans,1890.020561
1,25000,1000,75,18,kmeans++,kmeans,2078.86248
1,25000,1000,75,19,kmeans++,kmeans,1890.414176
1,25000,1000,75,20,kmeans++,kmeans,2079.745842
1,25000,1000,500,2,kmeans++,kmeans,2078.780098
1,25000,1000,500,3,kmeans++,kmeans,2078.834686
1,25000,1000,500,4,kmeans++,kmeans,1889.263267
1,25000,1000,500,5,kmeans++,kmeans,2078.942291
1,25000,1000,500,6,kmeans++,kmeans,2078.994805
1,25000,1000,500,7,kmeans++,kmeans,2079.049103
1,25000,1000,500,8,kmeans++,kmeans,2079.101799
1,25000,1000,500,9,kmeans++,kmeans,2080.422219
1,25000,1000,500,10,kmeans++,kmeans,1889.724784
1,25000,1000,500,11,kmeans++,kmeans,1889.606376
1,25000,1000,500,12,kmeans++,kmeans,2080.673928
1,25000,1000,500,13,kmeans++,kmeans,2079.371124
1,25000,1000,500,14,kmeans++,kmeans,2079.42453
1,25000,1000,500,15,kmeans++,kmeans,1890.106193
1,25000,1000,500,16,kmeans++,kmeans,2080.277466
1,25000,1000,500,17,kmeans++,kmeans,2079.58609
1,25000,1000,500,18,kmeans++,kmeans,2078.86248
1,25000,1000,500,19,kmeans++,kmeans,1890.414176
1,25000,1000,500,20,kmeans++,kmeans,1890.490653
1,25000,1000,1000,2,kmeans++,kmeans,1889.110023
1,25000,1000,1000,3,kmeans++,kmeans,2078.834686
1,25000,1000,1000,4,kmeans++,kmeans,2079.99894
1,25000,1000,1000,5,kmeans++,kmeans,2078.942291
1,25000,1000,1000,6,kmeans++,kmeans,2078.995697
1,25000,1000,1000,7,kmeans++,kmeans,1889.493339
1,25000,1000,1000,8,kmeans++,kmeans,2080.336037
1,25000,1000,1000,9,kmeans++,kmeans,2080.416687
1,25000,1000,1000,10,kmeans++,kmeans,2079.210015
1,25000,1000,1000,11,kmeans++,kmeans,2080.584595
1,25000,1000,1000,12,kmeans++,kmeans,1889.877372
1,25000,1000,1000,13,kmeans++,kmeans,2079.370232
1,25000,1000,1000,14,kmeans++,kmeans,2079.423699
1,25000,1000,1000,15,kmeans++,kmeans,2079.477936
1,25000,1000,1000,16,kmeans++,kmeans,1890.183097
1,25000,1000,1000,17,kmeans++,kmeans,2079.585259
1,25000,1000,1000,18,kmeans++,kmeans,2081.179909
1,25000,1000,1000,19,kmeans++,kmeans,1890.414176
1,25000,1000,1000,20,kmeans++,kmeans,2079.746674